Lat,Longt,Cluster,RelativeHumidity
40.9253,-98.4003,0,58.75
39.09066,-104.75222,0,32.5
47.4393,-122.1808,0,51.5
42.7875,-71.3995,0,80.0
35.6253,-78.3288,0,52.5
33.47,-83.265,0,74.75
28.601,-81.1685,0,78.0
28.0257,-80.6837,0,96.8
27.9283,-80.6535,0,89.5
37.6453,-122.4717,0,93.0
43.3195,-88.1683,0,52.25
32.89,-95.9255,0,52.25
33.6393,-117.1463,0,33.5
39.9852,-105.1548,0,18.75
33.5917,-84.0502,0,84.0
39.876,-105.0955,0,27.5
33.6846,-86.5971,0,76.25
41.103,-75.998,0,87.0
40.9892,-74.3472,1,88.0
40.9337,-72.8833,0,79.75
43.97736,-124.09846999999999,0,88.75
38.7272,-104.7017,0,24.0
41.9286,-74.01951,2,93.75
40.8635,-74.6717,0,96.0
42.6,-77.7,0,38.0
27.8798,-81.816,0,100.0
44.4547,-93.1637,0,56.4
33.888,-84.5872,0,76.0
35.8997,-76.3477,0,91.5
30.051,-91.818,0,100.0
35.7087,-105.9212,0,37.0
33.2477,-97.1427,0,43.0
30.891,-98.4265,0,61.5
29.8645,-95.6333,0,52.25
29.6653,-95.4913,0,39.0
41.9435,-71.3653,0,87.0
34.5397,-85.6118,0,92.0
36.9822,-122.0153,0,66.5
46.1517,-122.98,0,64.75
39.0648,-74.7792,0,80.0
28.2593,-82.6877,0,82.0
28.3083,-82.6745,0,82.0
40.748,-73.7655,3,70.75
44.4207,-80.0782,0,35.25
44.0617,-80.3175,0,65.0
43.1777,-78.988,0,31.5
45.0868,-76.0043,0,60.0
34.4883,-97.9593,0,51.25
42.9897,-85.3715,0,68.0
42.9852,-83.6863,0,34.0
39.0357,-94.71621999999998,0,71.0
41.2267,-85.84,0,40.25
39.0678,-86.6275,0,60.5
42.341,-88.44,0,65.25
20.8552,-156.3148,0,78.0
38.886,-92.4427,0,58.5
27.9518,-81.7805,0,100.0
29.6862,-98.5158,0,41.0
39.4325,-105.4423,0,34.75
31.7276,-109.728,0,37.0
42.4308,-71.3953,0,64.25
43.83,-75.6187,0,69.25
39.3585,-76.06116999999999,0,100.0
36.7697,-80.4015,0,72.0
26.123,-80.262,0,73.25
30.4558,-91.2057,0,50.25
32.3305,-89.9778,0,56.333333333333336
38.36923,-99.01515,0,53.75
44.5685,-93.13,0,53.0
44.0962,-92.4942,0,66.5
39.941720000000004,-84.93795,0,100.0
41.1352,-81.6042,0,32.0
41.715090000000004,-87.7282,0,57.75
40.9513,-90.3897,0,62.0
47.4,-122.0062,0,61.0
46.488170000000004,-124.04547,0,85.5
45.698,-122.6883,0,100.0
45.3895,-117.2375,0,24.75
44.2333,-120.8208,0,19.5
37.8583,-120.2125,0,24.5
37.3242,-120.5918,0,14.25
37.635740000000006,-122.12591,0,65.75
36.2895,-119.149,0,100.0
34.6022,-120.0947,0,51.5
34.5648,-118.10769999999998,0,23.0
34.3683,-117.4082,0,17.75
34.405,-86.8003,0,91.25
40.5399,-104.78394,0,27.75
34.3688,-84.3262,0,74.5
45.75050000000001,-108.569,0,16.666666666666668
37.921170000000004,-91.43783,0,31.0
43.2255,-71.7047,0,97.0
30.386,-84.2313,0,92.66666666666667
31.2328,-86.1408,0,80.0
30.4888,-86.4264,0,66.5
39.2147,-84.551,0,24.0
39.5,-86.7833,0,59.75
40.3333,-86.0167,0,52.75
46.1693,-90.9808,0,65.25
47.3542,-102.7532,0,28.75
29.8545,-96.5272,0,17.5
31.0717,-98.2067,0,58.0
31.7425,-95.5717,0,69.0
46.9297,-90.7525,0,63.0
40.3047,-80.0713,0,20.25
-35.1,149.34,0,61.0
27.2728,-80.2733,0,77.0
40.0858,-104.8115,0,13.75
33.4323,-111.7032,0,6.75
42.4197,-71.689,0,96.0
45.1632,-109.273,0,13.0
34.281,-86.2361,0,63.25
40.74333,-73.33755,0,80.25
43.6817,-70.1702,0,60.75
40.8427,-74.6583,0,91.75
40.15,-75.2372,0,93.5
42.0902,-80.1728,0,49.5
42.5387,-70.9802,0,45.5
36.1255,-78.5512,0,51.75
27.8961,-97.1394,0,53.75
37.0752,-119.4285,0,33.5
44.0555,-123.085,0,25.0
35.1007,-106.3403,0,30.5
45.01448,-122.77471000000001,0,39.25
34.4512,-114.3723,0,10.0
33.83039,-118.04743,0,59.0
